Index,date,close
1563,9/4/2018,59.85
1564,8/31/2018,60.91
1565,8/30/2018,61.96
1566,8/29/2018,62.47
1567,8/28/2018,61.56
1568,8/27/2018,62.09
1569,8/24/2018,61.03
1570,8/23/2018,60.27
1571,8/22/2018,60.37
1572,8/21/2018,60.08
1573,8/20/2018,60.39
1574,8/17/2018,60.05
1575,8/16/2018,60.32
1576,8/15/2018,60.72
1577,8/14/2018,62.11
1578,8/13/2018,61.75
1579,8/10/2018,61.88
1580,8/9/2018,62.46
1581,8/8/2018,62.28
1582,8/7/2018,62.11
1583,8/6/2018,61.24
1584,8/3/2018,61.19
1585,8/2/2018,61.31
1586,8/1/2018,61
1587,7/31/2018,60.86
1588,7/30/2018,60.99
1589,7/27/2018,61.93
1590,7/26/2018,63.42
1591,7/25/2018,63.19
1592,7/24/2018,62.4
1593,7/23/2018,60.28
1594,7/20/2018,59.25
1595,7/19/2018,59.35
1596,7/18/2018,59.79
1597,7/17/2018,59.94
1598,7/16/2018,59.19
1599,7/13/2018,59.44
1600,7/12/2018,59.17
1601,7/11/2018,57.7
1602,7/10/2018,57.64
1603,7/9/2018,57.7
1604,7/6/2018,57.01
1605,7/5/2018,56.21
1606,7/3/2018,55.14
1607,7/2/2018,56.37
1608,6/29/2018,55.78
1609,6/28/2018,55.71
1610,6/27/2018,55.2
1611,6/26/2018,55.92
1612,6/25/2018,56.24
1613,6/22/2018,57.77
1614,6/21/2018,57.88
1615,6/20/2018,58.49
1616,6/19/2018,58.4
1617,6/18/2018,58.67
1618,6/15/2018,57.61
1619,6/14/2018,57.61
1620,6/13/2018,56.74
1621,6/12/2018,56.97
1622,6/11/2018,56.5
1623,6/8/2018,56.04
1624,6/7/2018,56.19
1625,6/6/2018,56.84
1626,6/5/2018,56.98
1627,6/4/2018,56.96
1628,6/1/2018,55.98
1629,5/31/2018,54.25
1630,5/30/2018,53.39
1631,5/29/2018,53.02
1632,5/25/2018,53.78
1633,5/24/2018,53.96
1634,5/23/2018,53.98
1635,5/22/2018,53.49
1636,5/21/2018,53.98
1637,5/18/2018,53.32
1638,5/17/2018,53.93
1639,5/16/2018,54.09
1640,5/15/2018,53.96
1641,5/14/2018,55.01
1642,5/11/2018,54.91
1643,5/10/2018,54.88
1644,5/9/2018,54.14
1645,5/8/2018,52.7
1646,5/7/2018,52.74
1647,5/4/2018,52.41
1648,5/3/2018,51.19
1649,5/2/2018,51.22
1650,5/1/2018,51.87
1651,4/30/2018,50.87
1652,4/27/2018,51.5
1653,4/26/2018,52
1654,4/25/2018,51.06
1655,4/24/2018,51
1656,4/23/2018,53.37
1657,4/20/2018,53.65
1658,4/19/2018,54.39
1659,4/18/2018,53.6
1660,4/17/2018,53.71
1661,4/16/2018,51.9
1662,4/13/2018,51.46
1663,4/12/2018,51.63
1664,4/11/2018,51
1665,4/10/2018,51.58
1666,4/9/2018,50.77
1667,4/6/2018,50.35
1668,4/5/2018,51.39
1669,4/4/2018,51.26
1670,4/3/2018,50.67
1671,4/2/2018,50.32
1672,3/29/2018,51.59
1673,3/28/2018,50.23
1674,3/27/2018,50.26
1675,3/26/2018,52.66
1676,3/23/2018,51.08
1677,3/22/2018,52.45
1678,3/21/2018,54.54
1679,3/20/2018,54.89
1680,3/19/2018,54.99
1681,3/16/2018,56.79
1682,3/15/2018,57.48
1683,3/14/2018,57.47
1684,3/13/2018,56.91
1685,3/12/2018,58.23
1686,3/9/2018,58
1687,3/8/2018,56.3
1688,3/7/2018,55.48
1689,3/6/2018,54.75
1690,3/5/2018,54.55
1691,3/2/2018,53.95
1692,3/1/2018,53.48
1693,2/28/2018,55.24
1694,2/27/2018,55.91
1695,2/26/2018,57.19
1696,2/23/2018,56.34
1697,2/22/2018,55.33
1698,2/21/2018,55.57
1699,2/20/2018,55.12
1700,2/16/2018,54.74
1701,2/15/2018,54.48
1702,2/14/2018,53.49
1703,2/13/2018,52.61
1704,2/12/2018,52.6
1705,2/9/2018,51.89
1706,2/8/2018,50.08
1707,2/7/2018,52.43
1708,2/6/2018,54.03
1709,2/5/2018,52.79
1710,2/2/2018,55.6
1711,2/1/2018,58.39
1712,1/31/2018,58.5
1713,1/30/2018,58.18
1714,1/29/2018,58.78
1715,1/26/2018,58.79
1716,1/25/2018,58.52
1717,1/24/2018,58.21
1718,1/23/2018,58.5
1719,1/22/2018,57.79
1720,1/19/2018,56.88
1721,1/18/2018,56.49
1722,1/17/2018,56.6
1723,1/16/2018,56.09
1724,1/12/2018,56.11
1725,1/11/2018,55.28
1726,1/10/2018,55.13
1727,1/9/2018,55.31
1728,1/8/2018,55.35
1729,1/5/2018,55.11
1730,1/4/2018,54.32
1731,1/3/2018,54.12
1732,1/2/2018,53.25
1733,12/29/2017,52.32
1734,12/28/2017,52.41
1735,12/27/2017,52.47
1736,12/26/2017,52.84
1737,12/22/2017,53.01
1738,12/21/2017,53.18
1739,12/20/2017,53.25
1740,12/19/2017,53.53
1741,12/18/2017,53.86
1742,12/15/2017,53.21
1743,12/14/2017,52.46
1744,12/13/2017,52.03
1745,12/12/2017,52.02
1746,12/11/2017,52.06
1747,12/8/2017,51.85
1748,12/7/2017,51.55
1749,12/6/2017,50.92
1750,12/5/2017,50.26
1751,12/4/2017,49.93
1752,12/1/2017,50.51
1753,11/30/2017,51.07
1754,11/29/2017,51.08
1755,11/28/2017,52.37
1756,11/27/2017,52.71
1757,11/24/2017,52.03
1758,11/22/2017,51.8
1759,11/21/2017,51.72
1760,11/20/2017,50.92
1761,11/17/2017,50.95
1762,11/16/2017,51.63
1763,11/15/2017,51.05
1764,11/14/2017,51.3
1765,11/13/2017,51.29
1766,11/10/2017,51.4
1767,11/9/2017,51.56
1768,11/8/2017,51.99
1769,11/7/2017,51.67
1770,11/6/2017,51.3
1771,11/3/2017,51.62
1772,11/2/2017,51.28
1773,11/1/2017,51.28
1774,10/31/2017,50.83
1775,10/30/2017,50.86
1776,10/27/2017,50.96
1777,10/26/2017,48.63
1778,10/25/2017,48.67
